custodiarum,caes0682-5,custodia,NOUN,w-custodiarum,,,,,,,,,y,military,curator,y,rank,,,,,,,,,,,,,,,,,,,,,
cyrenaicae,caes0035-7,cyrenaicus,ADJ,w-cyrenaicae,,,,,,,,,,,,y,unitname,y,Cyrenaean,,,,,,,,,,,,,,,,,,,
d,masa0941-23,d,X,w-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damas,caes0146-22,Damas,PROPN,w-Damas,,,,y,m,other,Damas,,,,,,,,,,,,,,,,,,,,,,,,,,,
damascena,unkn0130-48,damascena,NOUN,w-damascena,,,,,,,,,,,,y,unitname,,,,,y,Damascus,https://pleiades.stoa.org/places/678106,,,,,,,,,,,,,,
de,"tsha0001-9, caes0037-6",de,ADP,w-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decreto,"caes0003-13, caes0011-11, jeru0497-13, caes0010-12, caes0122-10",decretum,NOUN,w-decreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decurione,caes0010-22,decurio,NOUN,w-decurione,,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
decurionum,"caes0122-11, jeru0497-14, caes0003-14, caes0010-13",decurio,NOUN,w-decurionum,,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
decurionum,caes0011-12,decurionum,NOUN,w-decurionum,,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
dedit,unkn0130-92,do,VERB,w-dedit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dedit,caes0037-9,deditus,NOUN,w-dedit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deiotariana,caes0046-4,deiotariana,NUM,w-deiotariana,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Deum,megi0002-18,Deus,PROPN,w-Deum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
devotissimus,bshe0006-25,deuotus,ADJ,w-devotissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offer,,,
devotus,"caes0006-14, caes0017-21, caes0029-1, caes0014-21, caes0019-3",deuotus,ADJ,w-devotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offer,,,
dicatissimus,caes0009-25,dicatissimus,NOUN,w-dicatissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim,caes0122-1,do,VERB,w-dim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimissis,unkn0130-80,dimitto,VERB,w-dimissis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diocletiano,"ashk0003b-6, caes0006-5",Diocletianum,PROPN,w-Diocletiano,,,,y,m,other,Diocletian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diocletianus,yotv0001-3,Diocletianus,PROPN,w-Diocletianus,,,,y,m,other,Diocletian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis,"nabl0001-1, caes0146-1, nabl0002-1, caes0160-1",Dis,PROPN,w-Dis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
divi,"ashk0003a-8, tsha0002-7, jeru0554-7, cape0001-7",diuus,ADJ,w-divi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
